name,image,,,,,,,,,,,,
Juma Miyagi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/90644.png,,,,,,,,,,,,
Aaron Jones,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66237.png,,,,,,,,,,,,
Nitish Kumar,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9683.png,,,,,,,,,,,,
Shayan Jahangir,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64154.png,,,,,,,,,,,,
Corey Anderson,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4332.png,,,,,,,,,,,,
Harmeet Singh,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/36489.png,,,,,,,,,,,,
Milind Kumar,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/14885.png,,,,,,,,,,,,
Nisarg Patel,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/11197.png,,,,,,,,,,,,
Shadley van Schalkwyk,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9795.png,,,,,,,,,,,,
Steven Taylor,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10154.png,,,,,,,,,,,,
Andries Gous,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57274.png,,,,,,,,,,,,
Monank Patel,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70336.png,,,,,,,,,,,,
Ali Khan,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66244.png,,,,,,,,,,,,
Jasdeep Singh,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65600.png,,,,,,,,,,,,
Nosthush Kenjige,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67389.png,,,,,,,,,,,,
Saurabh Netravalkar,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63509.png,,,,,,,,,,,,
Charith Asalanka,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65038.png,,,,,,,,,,,,
Kamindu Mendis,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65034.png,,,,,,,,,,,,
Pathum Nissanka,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66368.png,,,,,,,,,,,,
